RecordNo,Index,TopofMind,Unaided,Aided,TotalAwarness,Wykształcenie,Funkcja
2527,5,NA,NA,Porzeczki,NA,Średnie ogólne,Właściciel
2537,5,NA,NA,NA,NA,Średnie ogólne,Właściciel
2538,5,NA,NA,NA,NA,Średnie techniczne,???
2545,5,NA,NA,NA,NA,Wyższe,Główny agronom
2549,5,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2563,5,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2568,5,NA,NA,NA,NA,Średnie techniczne,???
2571,5,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2574,5,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2603,5,NA,NA,Porzeczki,NA,Średnie ogólne,Główny agronom
2613,5,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2628,5,NA,NA,Jabłka,NA,Wyższe,Agronom – ekspert
2631,5,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2634,5,NA,NA,Jabłka,NA,Wyższe,???
2638,5,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2643,5,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2647,5,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2660,5,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2670,5,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2674,5,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2685,5,NA,NA,NA,NA,Średnie ogólne,Właściciel
2688,5,NA,NA,NA,NA,Średnie ogólne,???
2703,5,NA,NA,NA,NA,Wyższe,???
2707,5,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2712,5,NA,NA,NA,NA,Średnie techniczne,Właściciel
2716,5,NA,NA,Wiśnie,NA,Średnie techniczne,Dyrektor / wicedyrektor
2719,5,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2727,5,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2744,5,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2750,5,NA,NA,NA,NA,Wyższe,Główny agronom
2769,5,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2773,5,NA,NA,Jagody,NA,Średnie ogólne,Agronom – ekspert
2780,5,NA,NA,Borówki,NA,Wyższe,Dyrektor / wicedyrektor
2790,5,NA,NA,NA,NA,Średnie ogólne,???
2795,5,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2798,5,NA,NA,NA,NA,Średnie techniczne,Właściciel
2801,5,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2804,5,NA,NA,Wiśnie,NA,Wyższe rolnicze,Agronom – ekspert
2809,5,NA,NA,NA,NA,Wyższe,???
2815,5,NA,NA,NA,NA,Średnie techniczne,Właściciel
2822,5,NA,NA,Wiśnie,NA,Średnie techniczne,Właściciel
2824,5,NA,NA,NA,NA,Średnie techniczne,Właściciel
2832,5,NA,NA,NA,NA,Średnie ogólne,???
2835,5,NA,NA,NA,NA,Średnie techniczne,???
2837,5,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2853,5,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2862,5,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2868,5,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2871,5,NA,NA,NA,NA,Wyższe,Główny agronom
2879,5,NA,NA,NA,NA,Wyższe,Właściciel
2880,5,NA,Maliny,NA,Maliny,Wyższe rolnicze,Dyrektor / wicedyrektor
2882,5,NA,NA,NA,NA,Średnie techniczne,???
2886,5,NA,NA,NA,NA,Wyższe,Główny agronom
1136,6,NA,NA,Aronia,NA,Średnie techniczne,Właściciel
1143,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1145,6,NA,NA,NA,NA,Wyższe,Właściciel
1151,6,NA,NA,Porzeczki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1154,6,NA,Borówki,NA,Borówki,Średnie techniczne,Agronom – ekspert
1167,6,NA,NA,Borówki,NA,Średnie techniczne,Główny agronom
1191,6,NA,NA,Borówki,NA,Wyższe,Dyrektor / wicedyrektor
1203,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1218,6,NA,NA,Porzeczki,NA,Średnie ogólne,Główny agronom
1221,6,NA,NA,Porzeczki,NA,Średnie techniczne,Agronom – ekspert
1233,6,NA,NA,Porzeczki,NA,Średnie techniczne,Właściciel
1234,6,NA,Śliwki,Porzeczki,Śliwki,Wyższe,Główny agronom
1236,6,NA,NA,Porzeczki,NA,Średnie ogólne,Właściciel
1256,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1261,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
1271,6,NA,NA,NA,NA,Średnie ogólne,???
1272,6,NA,NA,Porzeczki,NA,Wyższe,Agronom – ekspert
1286,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1292,6,NA,NA,Porzeczki,NA,Średnie techniczne,Właściciel
1293,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,6,NA,NA,Borówki,NA,Średnie ogólne,Główny agronom
1295,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1319,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1322,6,NA,NA,Borówki,NA,Średnie techniczne,Właściciel
1327,6,NA,NA,Porzeczki,NA,Średnie ogólne,Główny agronom
1356,6,NA,NA,Porzeczki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1358,6,NA,NA,Porzeczki,NA,Średnie techniczne,Dyrektor / wicedyrektor
1364,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1375,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1377,6,NA,NA,Porzeczki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1382,6,NA,NA,NA,NA,Średnie ogólne,???
1393,6,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1403,6,NA,Śliwki,NA,Śliwki,Średnie ogólne,Właściciel
1404,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1412,6,NA,NA,Jagody,NA,Średnie ogólne,Agronom – ekspert
1413,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1430,6,NA,NA,Jagody,NA,Średnie ogólne,???
1450,6,NA,NA,Borówki,NA,Średnie ogólne,Agronom – ekspert
1469,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1475,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1476,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1477,6,NA,NA,Borówki,NA,Średnie ogólne,Główny agronom
1490,6,NA,NA,NA,NA,Średnie techniczne,???
1501,6,NA,NA,NA,NA,Średnie ogólne,???
1503,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1508,6,NA,NA,Borówki,NA,Średnie ogólne,Agronom – ekspert
1529,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1531,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1540,6,NA,NA,Maliny,NA,Średnie ogólne,Właściciel
1548,6,NA,NA,Borówki,NA,Średnie ogólne,???
1567,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1575,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1578,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1581,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1588,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1591,6,NA,NA,Borówki,NA,Średnie ogólne,Właściciel
1599,6,NA,NA,Porzeczki,NA,Średnie ogólne,???
1605,6,NA,NA,Porzeczki,NA,Średnie ogólne,Agronom – ekspert
1634,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1653,6,NA,NA,Maliny,NA,Średnie techniczne,Właściciel
1666,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1672,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1694,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1705,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1710,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1712,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1719,6,NA,NA,NA,NA,Średnie ogólne,???
1739,6,NA,NA,Aronia,NA,Średnie ogólne,Główny agronom
1740,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1752,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1777,6,NA,NA,Porzeczki,NA,Średnie ogólne,Główny agronom
1792,6,NA,NA,NA,NA,Wyższe,???
1851,6,NA,NA,Borówki,NA,Średnie ogólne,???
1860,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,6,NA,NA,NA,NA,Średnie ogólne,???
1866,6,NA,NA,NA,NA,Średnie ogólne,???
1870,6,NA,NA,Aronia,NA,Średnie ogólne,???
1909,6,NA,NA,NA,NA,Średnie ogólne,???
1959,6,NA,NA,NA,NA,Średnie ogólne,???
1971,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
1974,6,NA,NA,NA,NA,Średnie techniczne,???
1978,6,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1984,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
1994,6,NA,NA,Śliwki,NA,Wyższe rolnicze,???
2000,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2004,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2019,6,NA,NA,NA,NA,Wyższe,Główny agronom
2024,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2026,6,NA,NA,Jagody,NA,Średnie techniczne,Główny agronom
2036,6,NA,NA,NA,NA,Wyższe,Właściciel
2051,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2057,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2061,6,NA,NA,NA,NA,Wyższe,???
2064,6,NA,NA,NA,NA,Średnie techniczne,???
2069,6,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2070,6,NA,NA,Wiśnie,NA,Wyższe,???
2082,6,NA,NA,NA,NA,Wyższe,Główny agronom
2083,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2088,6,NA,NA,NA,NA,Wyższe,???
2101,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2124,6,NA,NA,NA,NA,Wyższe,Właściciel
2128,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2138,6,NA,NA,NA,NA,Wyższe,???
2150,6,NA,NA,NA,NA,Wyższe,???
2159,6,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2164,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2167,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2180,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
2196,6,NA,NA,NA,NA,Średnie techniczne,???
2198,6,NA,NA,NA,NA,Wyższe,Właściciel
2209,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2210,6,NA,NA,NA,NA,Wyższe,???
2218,6,NA,NA,NA,NA,Wyższe,???
2223,6,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2231,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2262,6,NA,NA,NA,NA,Średnie ogólne,???
2269,6,NA,NA,NA,NA,Średnie ogólne,???
2270,6,NA,NA,Maliny,NA,Wyższe,Właściciel
2283,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2291,6,NA,NA,NA,NA,Wyższe,Główny agronom
2300,6,NA,NA,Jagody,NA,Średnie techniczne,Agronom – ekspert
2309,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2311,6,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2316,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
2326,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2329,6,NA,NA,NA,NA,Średnie ogólne,???
2341,6,NA,NA,Gruszki,NA,Średnie techniczne,Właściciel
2343,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2355,6,NA,NA,NA,NA,Wyższe rolnicze,???
2420,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2422,6,NA,Aronia,NA,Aronia,Średnie ogólne,Główny agronom
2432,6,NA,NA,NA,NA,Wyższe rolnicze,Inne
2437,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2438,6,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2442,6,NA,NA,NA,NA,Wyższe rolnicze,???
2446,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
2452,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2457,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2479,6,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2484,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2489,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2500,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2504,6,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2520,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2527,6,NA,NA,Borówki,NA,Średnie ogólne,Właściciel
2537,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
2538,6,NA,NA,NA,NA,Średnie techniczne,???
2545,6,NA,NA,NA,NA,Wyższe,Główny agronom
2549,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2563,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2568,6,NA,NA,NA,NA,Średnie techniczne,???
2571,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2574,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2603,6,NA,NA,Jabłka,NA,Średnie ogólne,Główny agronom
2613,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2628,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2631,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2634,6,NA,NA,NA,NA,Wyższe,???
2638,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2643,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2647,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2660,6,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2670,6,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2674,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2685,6,NA,NA,NA,NA,Średnie ogólne,Właściciel
2688,6,NA,NA,NA,NA,Średnie ogólne,???
2703,6,NA,NA,NA,NA,Wyższe,???
2707,6,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2712,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2716,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2719,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2727,6,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2744,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2750,6,NA,NA,NA,NA,Wyższe,Główny agronom
2769,6,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2773,6,NA,NA,Truskawki,NA,Średnie ogólne,Agronom – ekspert
2780,6,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2790,6,NA,NA,NA,NA,Średnie ogólne,???
2795,6,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2798,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2801,6,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2804,6,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2809,6,NA,NA,NA,NA,Wyższe,???
2815,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2822,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2824,6,NA,NA,NA,NA,Średnie techniczne,Właściciel
2832,6,NA,NA,NA,NA,Średnie ogólne,???
2835,6,NA,NA,NA,NA,Średnie techniczne,???
2837,6,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2853,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2862,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2868,6,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2871,6,NA,NA,NA,NA,Wyższe,Główny agronom
2879,6,NA,NA,NA,NA,Wyższe,Właściciel
2880,6,NA,Borówki,NA,Borówki,Wyższe rolnicze,Dyrektor / wicedyrektor
2882,6,NA,NA,NA,NA,Średnie techniczne,???
2886,6,NA,NA,NA,NA,Wyższe,Główny agronom
1136,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
1143,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1145,7,NA,NA,NA,NA,Wyższe,Właściciel
1151,7,NA,NA,Maliny,NA,Średnie ogólne,Dyrektor / wicedyrektor
1154,7,NA,Porzeczki,NA,Porzeczki,Średnie techniczne,Agronom – ekspert
1167,7,NA,NA,Porzeczki,NA,Średnie techniczne,Główny agronom
1191,7,NA,NA,Porzeczki,NA,Wyższe,Dyrektor / wicedyrektor
1203,7,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1218,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1221,7,NA,NA,Jagody,NA,Średnie techniczne,Agronom – ekspert
1233,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
1234,7,NA,NA,NA,NA,Wyższe,Główny agronom
1236,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1256,7,NA,Borówki,NA,Borówki,Średnie ogólne,Dyrektor / wicedyrektor
1261,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
1271,7,NA,NA,NA,NA,Średnie ogólne,???
1272,7,NA,NA,NA,NA,Wyższe,Agronom – ekspert
1286,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1292,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
1293,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,7,NA,NA,Porzeczki,NA,Średnie ogólne,Główny agronom
1295,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1319,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1322,7,NA,NA,Maliny,NA,Średnie techniczne,Właściciel
1327,7,NA,NA,Aronia,NA,Średnie ogólne,Główny agronom
1356,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1358,7,NA,NA,Jagody,NA,Średnie techniczne,Dyrektor / wicedyrektor
1364,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1375,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1377,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1382,7,NA,NA,NA,NA,Średnie ogólne,???
1393,7,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1403,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1404,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1412,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1413,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1430,7,NA,NA,NA,NA,Średnie ogólne,???
1450,7,NA,NA,Porzeczki,NA,Średnie ogólne,Agronom – ekspert
1469,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1475,7,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1476,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1477,7,NA,NA,Porzeczki,NA,Średnie ogólne,Główny agronom
1490,7,NA,NA,NA,NA,Średnie techniczne,???
1501,7,NA,NA,NA,NA,Średnie ogólne,???
1503,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1508,7,NA,NA,Porzeczki,NA,Średnie ogólne,Agronom – ekspert
1529,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1531,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1540,7,NA,NA,Aronia,NA,Średnie ogólne,Właściciel
1548,7,NA,NA,Porzeczki,NA,Średnie ogólne,???
1567,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1575,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1578,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1581,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1588,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1591,7,NA,NA,Porzeczki,NA,Średnie ogólne,Właściciel
1599,7,NA,NA,NA,NA,Średnie ogólne,???
1605,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1634,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1653,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
1666,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1672,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1694,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1705,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1710,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1712,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1719,7,NA,NA,NA,NA,Średnie ogólne,???
1739,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1740,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1752,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1777,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1792,7,NA,NA,NA,NA,Wyższe,???
1851,7,NA,NA,Porzeczki,NA,Średnie ogólne,???
1860,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,7,NA,NA,NA,NA,Średnie ogólne,???
1866,7,NA,NA,NA,NA,Średnie ogólne,???
1870,7,NA,NA,NA,NA,Średnie ogólne,???
1909,7,NA,NA,NA,NA,Średnie ogólne,???
1959,7,NA,NA,NA,NA,Średnie ogólne,???
1971,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
1974,7,NA,NA,NA,NA,Średnie techniczne,???
1978,7,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1984,7,NA,NA,NA,NA,Wyższe,Agronom – ekspert
1994,7,NA,NA,NA,NA,Wyższe rolnicze,???
2000,7,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2004,7,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2019,7,NA,NA,NA,NA,Wyższe,Główny agronom
2024,7,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2026,7,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2036,7,NA,NA,NA,NA,Wyższe,Właściciel
2051,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2057,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2061,7,NA,NA,NA,NA,Wyższe,???
2064,7,NA,NA,NA,NA,Średnie techniczne,???
2069,7,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2070,7,NA,NA,NA,NA,Wyższe,???
2082,7,NA,NA,NA,NA,Wyższe,Główny agronom
2083,7,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2088,7,NA,NA,NA,NA,Wyższe,???
2101,7,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2124,7,NA,NA,NA,NA,Wyższe,Właściciel
2128,7,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2138,7,NA,NA,NA,NA,Wyższe,???
2150,7,NA,NA,NA,NA,Wyższe,???
2159,7,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,7,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2164,7,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2167,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2180,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
2196,7,NA,NA,NA,NA,Średnie techniczne,???
2198,7,NA,NA,NA,NA,Wyższe,Właściciel
2209,7,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2210,7,NA,NA,NA,NA,Wyższe,???
2218,7,NA,NA,NA,NA,Wyższe,???
2223,7,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2231,7,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2262,7,NA,NA,NA,NA,Średnie ogólne,???
2269,7,NA,NA,NA,NA,Średnie ogólne,???
2270,7,NA,NA,Truskawki,NA,Wyższe,Właściciel
2283,7,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2291,7,NA,NA,NA,NA,Wyższe,Główny agronom
2300,7,NA,NA,Truskawki,NA,Średnie techniczne,Agronom – ekspert
2309,7,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2311,7,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2316,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
2326,7,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2329,7,NA,NA,NA,NA,Średnie ogólne,???
2341,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
2343,7,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2355,7,NA,NA,NA,NA,Wyższe rolnicze,???
2420,7,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2422,7,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2432,7,NA,NA,NA,NA,Wyższe rolnicze,Inne
2437,7,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2438,7,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2442,7,NA,NA,NA,NA,Wyższe rolnicze,???
2446,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
2452,7,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2457,7,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2479,7,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2484,7,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2489,7,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2500,7,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2504,7,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
2520,7,NA,NA,NA,NA,Średnie techniczne,Właściciel
2527,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
2537,7,NA,NA,NA,NA,Średnie ogólne,Właściciel
2538,7,NA,NA,NA,NA,Średnie techniczne,???
2545,7,NA,NA,NA,NA,Wyższe,Główny agronom
2549,7,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2563,7,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2568,7,NA,NA,NA,NA,Średnie techniczne,???
2571,7,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2574,7,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
